chapter_id_name,chapter_id_code,chapter_last_update_date,chapter_is_completed
Getting Started with Excel,DC-EXCEL-1-1,2025-10-09,True
Managing Data and Applying Aggregate Functions,DC-EXCEL-1-2,2025-10-09,True
Other Functions and Visualizing Data,DC-EXCEL-1-3,2025-10-09,True
Starting Data Preparation in Excel,DC-EXCEL-2-1,2025-10-09,True
Functions for Data Preparation,DC-EXCEL-2-2,2025-10-09,True
Conditional Formulas,DC-EXCEL-2-3,2025-10-09,True
Lookups and Data Transformation,DC-EXCEL-2-4,2025-10-19,True

Data is Everywhere: Here is my Number,LBOD-1-1,2025-10-09,True
Life After The Data Revolution: The Library,LBOD-1-2,2025-10-09,True
Data Science: Data During Wartime,LBOD-1-3,2025-09-18,True
Artificial Intelligence: A Sport For Cyborgs,LBOD-1-4,2025-09-18,True
Data Bullies: A Story Where Bankers Are The Heroes (No Really),LBOD-2-1,2025-09-24,True
Data People and Why I Love Them: The Day Priya Saw The Line,LBOD-2-2,2025-09-25,True
Omniscience: Solving One Big Problem: Skate The Lake,LBOD-3-1,2025-10-10,True
Omniscience: Solving Many Small Problems: But it is a Map!,LBOD-3-2,2025-09-22,True
Data Directs Resources to Where They Are Needed: A True Spartan,LBOD-3-3,2025-09-22,True
Data is Light in a Dark Room: Tiny Submarines,LBOD-3-4,2025-09-22,True
Data Crystallizes Complex Information: The Railroad Nerd,LBOD-3-5,2025-09-23,True

Welcome to Getting Started with Data Analytics on AWS,C-AWS-1-1,2025-09-23,True
What is Data Analytics?,C-AWS-1-2,2025-09-24,True
Most Common Data Analysis Nowadays,C-AWS-1-3,2025-09-25,True
How is Data Analytics Present in Your Life?,C-AWS-1-4,2025-10-01,True
Data Collection and Storage in the AWS Cloud,C-AWS-2-1,2025-10-01,True
Popular AWS Services Used for Analytics Solutions,C-AWS-2-2,2025-10-01,True
High-Level Content Summary: AWS Services for Data Analytics,C-AWS-2-3,2025-10-02,True
Demo - Hello Data Analytics World,C-AWS-2-4,2025-10-10,True
Amazon S3/AWS CloudTrail/Amazon Athena/AWS Datasets/Amazon QuickSight/Others,C-AWS-2-5,2025-09-28,True
What Else can you do with Data Analytics?,C-AWS-3-1,2025-09-28,True
Course Wrap-Up,C-AWS-3-2,2025-09-28,True
Final Assessment,C-AWS-3-3,2025=09-28,True

Modern Data Ecosystem and the Role of Data Analytics,IBM-DA-1-1,2025-09-29,True
The Data Analyst Role,IBM-DA-1-2,2025-09-29,True
Introduction to Data Analysis Using Spreadsheets,IBM-DA-2-1,2025-09-29,True
Getting Started with Using Excel Spreadsheets,IBM-DA-2-2,2025-10-10,True
Cleaning & Wrangling Data Using Spreadsheets,IBM-DA-2-3,2025-10-11,True
Analyzing Data Using Spreadsheets,IBM-DA-2-4,2025-10-18,True

Your first C# Program,SL-CSHARP-1-1,2025-10-13,True
Multiple Statements,SL-CSHARP-1-2,2025-10-13,True
Program Structure,SL-CSHARP-1-3,2025-10-13,True
Basic Concepts,SL-CSHARP-1-4,2025-10-13,True
Variables,SL-CSHARP-1-5,2025-10-13,True
Data Types,SL-CSHARP-1-6,2025-10-13,True
